Rozmiar wektora, Czas mnożenia wektorów, Czas mnożenia wektora przez macierz
1.000000,0.000129,0.000031
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
1.000000,0.000008,0.000017
2.000000,0.000014,0.000020
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000019
2.000000,0.000008,0.000028
3.000000,0.000013,0.000022
3.000000,0.000008,0.000021
3.000000,0.000008,0.000031
3.000000,0.000008,0.000021
3.000000,0.000008,0.000021
3.000000,0.000008,0.000021
3.000000,0.000008,0.000022
3.000000,0.000008,0.000022
3.000000,0.000008,0.000022
3.000000,0.000008,0.000022
4.000000,0.000013,0.000025
4.000000,0.000008,0.000024
4.000000,0.000008,0.000024
4.000000,0.000008,0.000024
4.000000,0.000008,0.000024
4.000000,0.000008,0.000024
4.000000,0.000009,0.000024
4.000000,0.000008,0.000024
4.000000,0.000009,0.000024
4.000000,0.000008,0.000025
5.000000,0.000013,0.000028
5.000000,0.000008,0.000027
5.000000,0.000008,0.000027
5.000000,0.000008,0.000027
5.000000,0.000008,0.000027
5.000000,0.000008,0.000027
5.000000,0.000008,0.000028
5.000000,0.000008,0.000027
5.000000,0.000008,0.000027
5.000000,0.000008,0.000027
6.000000,0.000013,0.000030
6.000000,0.000008,0.000029
6.000000,0.000008,0.000029
6.000000,0.000008,0.000029
6.000000,0.000008,0.000030
6.000000,0.000008,0.000029
6.000000,0.000008,0.000030
6.000000,0.000008,0.000030
6.000000,0.000008,0.000030
6.000000,0.000008,0.000030
7.000000,0.000014,0.000033
7.000000,0.000008,0.000032
7.000000,0.000008,0.000032
7.000000,0.000017,0.000033
7.000000,0.000008,0.000033
7.000000,0.000008,0.000032
7.000000,0.000008,0.000032
7.000000,0.000008,0.000033
7.000000,0.000008,0.000033
7.000000,0.000008,0.000032
8.000000,0.000014,0.000036
8.000000,0.000008,0.000035
8.000000,0.000008,0.000035
8.000000,0.000008,0.000035
8.000000,0.000008,0.000036
8.000000,0.000008,0.000035
8.000000,0.000008,0.000036
8.000000,0.000008,0.000035
8.000000,0.000008,0.000036
8.000000,0.000008,0.000036
9.000000,0.000013,0.000053
9.000000,0.000008,0.000051
9.000000,0.000008,0.000052
9.000000,0.000008,0.000052
9.000000,0.000008,0.000052
9.000000,0.000008,0.000052
9.000000,0.000008,0.000052
9.000000,0.000008,0.000052
9.000000,0.000008,0.000051
9.000000,0.000008,0.000051
10.000000,0.000013,0.000056
10.000000,0.000008,0.000056
10.000000,0.000008,0.000056
10.000000,0.000008,0.000056
10.000000,0.000008,0.000066
10.000000,0.000008,0.000056
10.000000,0.000008,0.000056
10.000000,0.000008,0.000056
10.000000,0.000008,0.000056
10.000000,0.000008,0.000056
11.000000,0.000013,0.000059
11.000000,0.000008,0.000059
11.000000,0.000008,0.000059
11.000000,0.000008,0.000059
11.000000,0.000008,0.000070
11.000000,0.000008,0.000059
11.000000,0.000008,0.000059
11.000000,0.000008,0.000059
11.000000,0.000008,0.000059
11.000000,0.000008,0.000060
12.000000,0.000013,0.000062
12.000000,0.000008,0.000062
12.000000,0.000008,0.000062
12.000000,0.000008,0.000073
12.000000,0.000008,0.000062
12.000000,0.000008,0.000062
12.000000,0.000008,0.000062
12.000000,0.000008,0.000062
12.000000,0.000008,0.000062
12.000000,0.000008,0.000062
13.000000,0.000013,0.000065
13.000000,0.000008,0.000065
13.000000,0.000008,0.000075
13.000000,0.000008,0.000064
13.000000,0.000008,0.000065
13.000000,0.000008,0.000065
13.000000,0.000008,0.000065
13.000000,0.000008,0.000064
13.000000,0.000008,0.000064
13.000000,0.000008,0.000065
14.000000,0.000014,0.000068
14.000000,0.000008,0.000077
14.000000,0.000008,0.000067
14.000000,0.000008,0.000068
14.000000,0.000008,0.000068
14.000000,0.000008,0.000068
14.000000,0.000008,0.000068
14.000000,0.000008,0.000067
14.000000,0.000008,0.000068
14.000000,0.000008,0.000067
15.000000,0.000014,0.000070
15.000000,0.000008,0.000070
15.000000,0.000011,0.000070
15.000000,0.000008,0.000070
15.000000,0.000008,0.000070
15.000000,0.000008,0.000070
15.000000,0.000008,0.000070
15.000000,0.000008,0.000070
15.000000,0.000008,0.000070
15.000000,0.000008,0.000070
16.000000,0.000014,0.000075
16.000000,0.000008,0.000074
16.000000,0.000008,0.000074
16.000000,0.000008,0.000074
16.000000,0.000008,0.000075
16.000000,0.000008,0.000074
16.000000,0.000008,0.000083
16.000000,0.000008,0.000074
16.000000,0.000008,0.000075
16.000000,0.000008,0.000074
17.000000,0.000015,0.000075
17.000000,0.000008,0.000075
17.000000,0.000008,0.000075
17.000000,0.000008,0.000084
17.000000,0.000008,0.000075
17.000000,0.000008,0.000075
17.000000,0.000008,0.000075
17.000000,0.000008,0.000075
17.000000,0.000008,0.000075
17.000000,0.000008,0.000075
18.000000,0.000014,0.000079
18.000000,0.000008,0.000078
18.000000,0.000008,0.000078
18.000000,0.000009,0.000078
18.000000,0.000008,0.000078
18.000000,0.000008,0.000078
18.000000,0.000008,0.000078
18.000000,0.000008,0.000078
18.000000,0.000008,0.000078
18.000000,0.000008,0.000078
19.000000,0.000013,0.000081
19.000000,0.000008,0.000081
19.000000,0.000008,0.000081
19.000000,0.000008,0.000081
19.000000,0.000008,0.000081
19.000000,0.000008,0.000090
19.000000,0.000008,0.000081
19.000000,0.000008,0.000081
19.000000,0.000008,0.000081
19.000000,0.000008,0.000081
20.000000,0.000014,0.000096
20.000000,0.000008,0.000086
20.000000,0.000008,0.000085
20.000000,0.000008,0.000085
20.000000,0.000008,0.000086
20.000000,0.000008,0.000085
20.000000,0.000008,0.000086
20.000000,0.000008,0.000086
