Rozmiar wektora, Czas mnożenia wektorów, Czas mnożenia wektora przez macierz
1.000000,0.000115,0.000030
1.000000,0.000009,0.000017
1.000000,0.000008,0.000016
1.000000,0.000008,0.000016
1.000000,0.000008,0.000016
1.000000,0.000008,0.000016
1.000000,0.000007,0.000016
1.000000,0.000008,0.000016
1.000000,0.000007,0.000016
1.000000,0.000008,0.000016
20.000000,0.000017,0.000087
20.000000,0.000008,0.000085
20.000000,0.000008,0.000085
20.000000,0.000008,0.000085
20.000000,0.000008,0.000094
20.000000,0.000008,0.000085
20.000000,0.000008,0.000085
20.000000,0.000008,0.000085
20.000000,0.000008,0.000085
20.000000,0.000008,0.000084
40.000000,0.000020,0.000154
40.000000,0.000008,0.000143
40.000000,0.000008,0.000144
40.000000,0.000008,0.000143
40.000000,0.000007,0.000142
40.000000,0.000008,0.000143
40.000000,0.000008,0.000143
40.000000,0.000040,0.000145
40.000000,0.000008,0.000143
40.000000,0.000008,0.000143
60.000000,0.000027,0.000203
60.000000,0.000008,0.000210
60.000000,0.000008,0.000200
60.000000,0.000008,0.000200
60.000000,0.000008,0.000200
60.000000,0.000008,0.000200
60.000000,0.000008,0.000232
60.000000,0.000008,0.000201
60.000000,0.000008,0.000200
60.000000,0.000008,0.000199
80.000000,0.000034,0.000268
80.000000,0.000008,0.000269
80.000000,0.000009,0.000258
80.000000,0.000008,0.000258
80.000000,0.000008,0.000258
80.000000,0.000008,0.000298
80.000000,0.000008,0.000263
80.000000,0.000008,0.000258
80.000000,0.000008,0.000258
80.000000,0.000008,0.000284
100.000000,0.000044,0.000398
100.000000,0.000009,0.000385
100.000000,0.000008,0.000368
100.000000,0.000008,0.000423
100.000000,0.000008,0.000386
100.000000,0.000008,0.000368
100.000000,0.000008,0.000400
100.000000,0.000008,0.000370
100.000000,0.000008,0.000377
100.000000,0.000008,0.000367
120.000000,0.000052,0.000596
120.000000,0.000009,0.000543
120.000000,0.000009,0.000621
120.000000,0.000009,0.000550
120.000000,0.000009,0.000560
120.000000,0.000009,0.000572
120.000000,0.000009,0.000554
120.000000,0.000010,0.000550
120.000000,0.000009,0.000531
120.000000,0.000009,0.000578
140.000000,0.000056,0.000801
140.000000,0.000010,0.000783
140.000000,0.000009,0.000739
140.000000,0.000010,0.000715
140.000000,0.000009,0.000774
140.000000,0.000010,0.000734
140.000000,0.000009,0.000756
140.000000,0.000010,0.000718
140.000000,0.000049,0.000732
140.000000,0.000009,0.000735
160.000000,0.000058,0.001028
160.000000,0.000009,0.000922
160.000000,0.000009,0.000926
160.000000,0.000009,0.000912
160.000000,0.000009,0.000908
160.000000,0.000009,0.000914
160.000000,0.000009,0.000924
160.000000,0.000009,0.000923
160.000000,0.000009,0.000942
160.000000,0.000010,0.000941
180.000000,0.000061,0.001428
180.000000,0.000010,0.001281
180.000000,0.000010,0.001376
180.000000,0.000011,0.001315
180.000000,0.000010,0.001314
180.000000,0.000011,0.001399
180.000000,0.000011,0.001320
180.000000,0.000010,0.001286
180.000000,0.000011,0.001388
180.000000,0.000012,0.001354
200.000000,0.000051,0.001397
200.000000,0.000010,0.001261
200.000000,0.000009,0.001250
200.000000,0.000010,0.001305
200.000000,0.000010,0.001237
200.000000,0.000010,0.001493
200.000000,0.000011,0.001395
200.000000,0.000010,0.001401
200.000000,0.000011,0.001248
200.000000,0.000010,0.001309
220.000000,0.000060,0.001700
220.000000,0.000011,0.001603
220.000000,0.000011,0.001591
220.000000,0.000012,0.001647
220.000000,0.000011,0.001604
220.000000,0.000011,0.001635
220.000000,0.000014,0.001552
220.000000,0.000012,0.001633
220.000000,0.000011,0.001595
220.000000,0.000011,0.001626
240.000000,0.000060,0.001626
240.000000,0.000011,0.001632
240.000000,0.000010,0.001782
240.000000,0.000011,0.001597
240.000000,0.000010,0.001511
240.000000,0.000011,0.001512
240.000000,0.000010,0.001575
240.000000,0.000011,0.001498
240.000000,0.000010,0.001631
240.000000,0.000011,0.001505
260.000000,0.000061,0.001744
260.000000,0.000011,0.001607
260.000000,0.000010,0.001614
260.000000,0.000010,0.001622
260.000000,0.000010,0.001605
260.000000,0.000010,0.001614
260.000000,0.000010,0.001667
260.000000,0.000011,0.001701
260.000000,0.000010,0.001837
260.000000,0.000011,0.001638
280.000000,0.000061,0.001872
280.000000,0.000012,0.001817
280.000000,0.000011,0.001756
280.000000,0.000011,0.001815
280.000000,0.000011,0.001752
280.000000,0.000011,0.001831
280.000000,0.000011,0.001745
280.000000,0.000011,0.001822
280.000000,0.000011,0.001760
280.000000,0.000011,0.001823
300.000000,0.000063,0.001980
300.000000,0.000011,0.001869
300.000000,0.000011,0.001857
300.000000,0.000011,0.001848
300.000000,0.000010,0.001849
300.000000,0.000011,0.001851
300.000000,0.000010,0.001859
300.000000,0.000011,0.001857
300.000000,0.000010,0.001838
300.000000,0.000011,0.001860
320.000000,0.000061,0.002086
320.000000,0.000012,0.002145
320.000000,0.000011,0.002136
320.000000,0.000011,0.001998
320.000000,0.000010,0.001988
320.000000,0.000011,0.001978
320.000000,0.000011,0.001973
320.000000,0.000011,0.001984
320.000000,0.000010,0.001972
320.000000,0.000011,0.001973
340.000000,0.000063,0.002241
340.000000,0.000011,0.002149
340.000000,0.000012,0.002149
340.000000,0.000011,0.002093
340.000000,0.000011,0.002225
340.000000,0.000012,0.002359
340.000000,0.000011,0.002120
340.000000,0.000012,0.002098
340.000000,0.000011,0.002105
340.000000,0.000012,0.002091
360.000000,0.000110,0.002296
360.000000,0.000012,0.002219
360.000000,0.000011,0.002210
360.000000,0.000011,0.002281
360.000000,0.000011,0.002289
360.000000,0.000012,0.002231
360.000000,0.000011,0.002224
360.000000,0.000012,0.002444
360.000000,0.000012,0.002314
360.000000,0.000011,0.002219
380.000000,0.000063,0.002460
380.000000,0.000011,0.002360
380.000000,0.000011,0.002336
380.000000,0.000011,0.002328
380.000000,0.000011,0.002373
380.000000,0.000012,0.002367
380.000000,0.000011,0.002372
380.000000,0.000011,0.002323
380.000000,0.000011,0.002599
380.000000,0.000012,0.002434
400.000000,0.000063,0.002572
400.000000,0.000012,0.002445
400.000000,0.000011,0.002461
400.000000,0.000012,0.002441
400.000000,0.000011,0.002458
400.000000,0.000011,0.002486
400.000000,0.000011,0.002710
400.000000,0.000012,0.002460
400.000000,0.000011,0.002636
400.000000,0.000012,0.002755
420.000000,0.000063,0.002687
420.000000,0.000012,0.002576
420.000000,0.000012,0.002578
420.000000,0.000012,0.002567
420.000000,0.000011,0.002573
420.000000,0.000012,0.002610
420.000000,0.000012,0.002631
420.000000,0.000012,0.002588
420.000000,0.000012,0.002677
420.000000,0.000012,0.002854
440.000000,0.000060,0.002827
440.000000,0.000012,0.002699
440.000000,0.000012,0.002705
440.000000,0.000012,0.002684
440.000000,0.000011,0.002746
440.000000,0.000012,0.002851
440.000000,0.000011,0.002700
440.000000,0.000013,0.002850
440.000000,0.000012,0.002921
440.000000,0.000012,0.002722
460.000000,0.000064,0.002927
460.000000,0.000012,0.002812
460.000000,0.000012,0.002884
460.000000,0.000012,0.002855
460.000000,0.000011,0.002861
460.000000,0.000012,0.002816
460.000000,0.000011,0.003243
460.000000,0.000012,0.002885
460.000000,0.000012,0.002829
460.000000,0.000011,0.002814
480.000000,0.000063,0.003040
480.000000,0.000012,0.002991
480.000000,0.000012,0.003130
480.000000,0.000013,0.002926
480.000000,0.000012,0.003210
480.000000,0.000013,0.002982
480.000000,0.000012,0.002945
480.000000,0.000012,0.002916
480.000000,0.000012,0.002911
480.000000,0.000012,0.002922
500.000000,0.000070,0.003455
